valor
1.67
2.77
4.14
3.65
3.08
3.43
3.30
1.62
0.34
0.31
1.50
1.95
1.53
1.72
0.07
-1.37
0.09
0.74
0.39
2.26
2.75
2.24
2.22
-0.15
